id,requirement,evidence_type,status,evidence_path,notes
M5-FRAME-UI,Frame-rate slider choices and persistence,unit and UI tests,proven,docs/evidence/frame-rate-ui-2026-07-14.md,"Production slider visibly selected 120 FPS, Apply persisted it to the isolated player profile, and a fresh second process visibly reloaded 120 FPS with two clean exits and unchanged assets"
M5-TIMING,Render and simulation cadence preserve gameplay behavior,frame captures and gameplay tests,proven,docs/evidence/timing-domains-2026-07-14.md,"Production 60/120 observer completed weapon AI physics animation particle script dialogue cutscene and level-transition paths with exactly one event per domain; the maximum cross-cap simulation median delta was 9 ms"
M5-VSYNC,VSync and low-jitter limiter modes,pacing captures,proven,docs/evidence/vsync-modes-2026-07-14.md,Production Off cap-only 120 FPS plus On and Adaptive at 60 FPS passed strict median and p95 gates with actual applied-mode telemetry
M6-MOUSE,Low-latency raw mouse and safe cursor capture,input tests,proven,docs/evidence/mouse-latency-2026-07-14.md,SDL relative raw-preferred input changed yaw; 8 event-to-control samples measured 2.927 ms median and 6.078 ms p95; three focus-loss cycles released capture and restored exact virtual-desktop cursor clipping
M6-PRESETS,Modern and Classic control presets,input tests,proven,docs/evidence/control-presets-2026-07-14.md,"Both production presets passed live binding-table validation, real W movement, relative mouse turning, clean exit, display invariance, and asset immutability in fresh-profile Release runs"
M7-ENHANCEMENTS,Modular legally distributable visual enhancements,package and visual tests,proven,docs/evidence/enhancement-framework-2026-07-14.md,"Ultra filtering 16x anisotropy bloom SSAO 1.5x SSAA precache and replacement discovery sustained 719 frames at 1440p with 16.635 ms median and 16.921 ms p95; legal empty-pack fallback preserved original assets"
M8-VIDEO-UX,Video menu apply revert last-known-good and reset,UI and failure tests,proven,docs/evidence/display-confirmation-timeout-2026-07-14.md,"The production Windows confirmation dialog was visibly captured, left untouched for 16.866 seconds, and automatically restored exact engine settings and the 2560x1440@165 desktop; Apply persistence, reset paths, and accepted last-known-good crash recovery are separately proven"
M9-RDNA1,RDNA1 compatibility,human hardware test,unverified-hardware,,No representative hardware available yet
M9-RDNA2,RDNA2 compatibility,human hardware test,unverified-hardware,,No representative hardware available yet
M9-RDNA3,RDNA3 compatibility,human hardware test,proven,docs/evidence/gameplay-crash-restoration-2026-07-14.md,"Representative RX 7900 XTX hardware OpenGL passed 1440p/4K, first door, pacing, input, save/reload, multi-monitor, focus, forced termination, real crash and recovery probes; this does not generalize to other RDNA3 cards"
M9-NVIDIA,NVIDIA regression coverage,CI or hardware test,unverified-hardware,,Pending
M9-INTEL,Intel regression coverage,CI or hardware test,unverified-hardware,,Pending
M9-GAMEPLAY,First level first door save load death transition and cutscene validation,gameplay evidence,proven,"docs/evidence/timing-domains-2026-07-14.md; docs/evidence/timing-invariance-2026-07-14.md; docs/evidence/save-load-lifecycle-2026-07-14.md; docs/evidence/death-reload-2026-07-14.md","Combined production evidence covers first-door progression, save/load, death/reload, restart, dialogue completion, decoded cutscene completion, and transition to the episode-defined next level"
M10-PACKAGE,Legal Windows x64 package without proprietary assets,package audit,proven,"docs/evidence/windows-package-2026-07-14.md; docs/evidence/discovery-clean-install-2026-07-15.json",Discovery-integrated clean-provenance Release ZIP from 6380e7e4 verified all 37 manifest files with zero proprietary findings
M10-DISCOVERY,Steam and GOG discovery plus asset validation,clean machine test,proven,docs/evidence/discovery-clean-install-2026-07-15.json,"The packaged launcher automatically found and persisted the legitimate Steam install; asset-free fixtures passed Steam app-manifest, secondary-library, GOG common-location, valid browse, invalid browse, and missing-file behavior"
M10-UNINSTALL,Safe uninstall preserving game data saves and settings,clean machine test,proven,"docs/evidence/windows-package-2026-07-14.md; docs/evidence/discovery-clean-install-2026-07-15.json",The discovery-integrated package removed application files and its shortcut while preserving launcher configuration and gameplay saves; guarded portable preservation also passed
M11-DOCS,Build architecture testing troubleshooting licenses and attribution docs,document audit,proven,docs/evidence/release-documentation-audit-2026-07-14.md,"Windows 11 build instructions, architecture/fallback decisions, timing design, limitations, results, troubleshooting, licenses, upstream-ready groups, EditorConfig policy, C11 static checks, unit suite, and native MSVC Release CI are present and contract-checked"
AC-RX7900,RX 7900 XTX full game hardware rendering without corruption or driver crash,gameplay logs and frame captures,proven,docs/evidence/rdna-renderer-acceptance-2026-07-15.md,"One-minute 2560x1440 Ultra hardware run recorded 3,597 frames with all shader programs, framebuffers, and sampled uploads clean; combined first-door, timing, input, save/load, crash-restoration, and visual evidence contains no driver crash, software fallback, or obvious corruption"
AC-1440P,Correct 2560x1440 borderless gameplay,visual and display tests,proven,docs/evidence/aspect-correction-2026-07-14.md,Visible gameplay HUD menu and decoded-video captures passed while the 2560x1440@165 desktop mode remained invariant
AC-DISPLAY,Display state invariant across launch play Alt+Tab crash and exit,before-after system samples,proven,docs/evidence/gameplay-crash-restoration-2026-07-14.md,Launch gameplay three focus-loss loops forced termination real access-violation crash recovery and normal exit preserved 2560x1440 at 165 Hz and exact cursor clipping
AC-120FPS,Paced 120 Hz rendering without simulation acceleration,frame capture and gameplay timing tests,proven,docs/evidence/timing-domains-2026-07-14.md,"Existing 8.3232 ms median and 8.5754 ms p95 pacing evidence is now paired with nine production timing domains whose maximum cross-cap simulation median delta was 9 ms"
AC-FIRST-DOOR,Previously failing first-door path no longer crashes,gameplay crash logs,proven,docs/evidence/timing-invariance-2026-07-14.md,Two 60/120 capped Release runs activated both physical doors crossed into sector 59 and exited cleanly
AC-INPUT,Responsive modern mouse and controls,input evidence,proven,docs/evidence/control-presets-2026-07-14.md,"Modern and Classic fresh-profile Release runs passed binding validation, W movement, relative mouse yaw, clean exit, display invariance, and asset immutability"
AC-SAVES,Save load death reload restart preserve progress,gameplay evidence,proven,docs/evidence/death-reload-2026-07-14.md,Production save/load death/reload and fresh-process restart restored distinctive health and position on the tested machine
AC-LEGAL,Package contains no proprietary Jedi Knight assets,package manifest audit,proven,docs/evidence/discovery-clean-install-2026-07-15.json,Discovery-integrated 37-file artifact passed manifest and prohibited-asset scans with zero findings
AC-CLEAN,Clean machine install configure play save uninstall,clean machine recording,blocked-host,docs/evidence/discovery-clean-install-2026-07-15.json,"A fresh isolated-root install passed verification, shortcut creation, packaged fixtures, automatic Steam configuration, gameplay, save/restore, display and asset invariance, uninstall, and user-data preservation; no separate Windows host or virtualization facility was available"
